,similarity_scores_85
A/C Power Backup Available,['A/C Power Backup Available']
Extra towels/bedding in room,"['Extra towels/bedding', 'Extra towels/bedding in room']"
Complimentary bed-tea,['Complimentary bed-tea']
Beach activities,['Beach activities']
Jungle treks,['Jungle treks']
Health and fitness centre,"['Fitness centre (nearby)', 'Health centre', 'Fitness Center', 'Health and fitness centre', 'Spa and wellness centre', 'Fitness Centre', 'Fitness centre', 'Health or fitness facilities', 'Fitness centre (men only)']"
Free outdoor parking,"['Free parking nearby', 'Free covered parking', 'Parking(free)', 'Free secure outdoor parking', 'Free garage parking', 'Free parking (limited spaces)', 'Free outdoor parking', 'Secure outdoor parking (surcharge)', 'Free Parking', 'Parking (free)']"
Volleyball,['Volleyball']
Designated smoking areas,"['Designated smoking areas (fines apply)', 'Designated Smoking Area', 'Designated smoking area', 'Designated smoking areas']"
Dinning Area,"['Separate Dinning area', 'Dinning Area', 'Separate dining area']"
Plug & Play Video,['Plug & Play Video']
Sauna,['Sauna']
Bidet,['Bidet']
Room Size: 13 sq m (140 sq ft),"['460 Sq Ft', '46 Sq', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', '350 to 375 sq ft', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']"
Audio visual equipment,['Audio visual equipment']
Parking(secure),"['Secure parking (surcharge)', 'Secure covered parking (surcharge)', 'Free secure outdoor parking', 'Free secure covered parking', 'Parking(secure)', 'Secure outdoor parking (surcharge)', 'Secure parking', 'Free secure parking']"
Parking(surcharge),"['Secure parking (surcharge)', 'Secure covered parking (surcharge)', 'Parking (surcharge)', 'Garage parking (surcharge)', 'Parking(surcharge)', 'Covered parking (surcharge)', 'Secure outdoor parking (surcharge)', 'Valet parking (surcharge)', 'Parking nearby (surcharge)', 'Self parking (surcharge)', 'Outdoor parking (surcharge)', 'Parking limited (surcharge)']"
Cruise terminal shuttle (surcharge),"['Cruise terminal shuttle (complimentary)', 'Airport shuttle(surcharge)', 'Cruise terminal shuttle (surcharge)', 'Ferry terminal shuttle (complimentary)', 'Airport Shuttle (surcharge)']"
Coffeemaker,['Coffeemaker']
Coach parking,['Coach parking']
Makeup/shaving mirror,"['Makeup mirror', 'Makeup/shaving mirror']"
Covered parking (surcharge),"['Secure parking (surcharge)', 'Secure covered parking (surcharge)', 'Parking (surcharge)', 'Long-term parking (surcharge)', 'Garage parking (surcharge)', 'Parking(surcharge)', 'Covered parking (surcharge)', 'Secure outdoor parking (surcharge)', 'Valet parking (surcharge)', 'Parking nearby (surcharge)', 'Self parking (surcharge)', 'Outdoor parking (surcharge)', 'Parking limited (surcharge)']"
Banana boat rides,['Banana boat rides']
Sports activities nearby,['Sports activities nearby']
Breakfast Room,"['Breakfast Buffet', 'Breakfast in the Room', 'Breakfast in the room', 'Breakfast Room', 'Breakfast buffet', 'TVLiving Room', 'breakfast']"
Banqueting,['Banqueting']
250 to 375 sq ft,"['460 Sq Ft', 'Room Size:26 sq m(279 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', '100-200 Sq.Feet', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size:32 sq m(344 sq ft)', '350 to 375 sq ft', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']"
Swimming pool - outdoor,"['Swimming pools', 'Outdoor Swimming Pool (all year)', '1 outdoor pool (heated)', 'Outdoor Swimming Pool', 'Swimming pool (outdoor)', 'Swimming pool', 'Swimming Pool', 'Indoor Swimming Pool (seasonal)', 'Indoor Swimming Pool', 'Outdoor Swimming Pool (seasonal)', '1 indoor pool (heated)', 'Swimming pool - indoor', 'Swimming pool - outdoor', 'Outdoor pool (all year)', ""Swimming pool - children's"", 'Indoor Swimming Pool (all year)', 'Kiddy Swimming Pool', 'Outdoor pool (seasonal)']"
Babysitting or childcare,"['Babysitting or childcare (surcharge)', 'Babysitting or childcare (free)', 'Babysitting or child care', 'Babysitting or childcare', 'Babysitting/Child Services']"
Oven/ Stove,['Oven/ Stove']
Meeting facilities,"['Conference & Banquet Facilities', 'Conference Facilities', 'Meeting facilities', 'Seminar facilities', 'Meeting/Banquet Facilities']"
Jetted bathtub,"['bathtub', 'Bathtub', 'Jetted bathtub', 'Jacuzzi Bathtub']"
Room service,"['24 hour room service', 'Room Service', 'Room Service, 24 Hour Reception', 'Room service', 'Room Service, 24 Hour Reception And Laundry Service', 'Room service (limited hours)', 'Room cleaning service', 'Room service(limited hours)', '24-hour Room Service']"
Tennis (nearby),"['Golf (nearby)', 'Tennis (nearby)', 'Swimming (nearby)']"
Museum,['Museum']
Second bathroom,['Second bathroom']
Room Size:20 sq m(215 sq ft),"['460 Sq Ft', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', '350 to 375 sq ft', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']"
Gardens,"['Gardens', 'Garden', 'Lawns/gardens']"
Canoeing,"['Rowing/canoeing', 'Canoeing', 'Kayaking']"
Spa/Massage/Wellness,"['Massage - spa treatment room(s)', 'Spa & Wellness Centre', 'Massage', 'Spa/Massage/Wellness', 'Spa and wellness centre', 'Spa']"
PC hire,['PC hire']
Music library,['Music library']
Pets allowed (dogs only),"['No pets except guide dogs', 'Guide dogs allowed', 'Pets Allowed', 'Pets not allowed', 'Pets allowed (dogs only)', 'Pets allowed (small)', 'Pets allowed']"
Massage Chair,['Massage Chair']
Private jetty,['Private jetty']
Porterage 24 hour,"['24 hour reception', '24 hour security', 'Porterage 24 hour', '24 hour concierge']"
Mail/courier service,['Mail/courier service']
Archery,['Archery']
Lift/elevator,"['Elevator/lift attendant', 'Lift / Elevator', 'Lift/elevator', 'Elevator/lift', 'Elevator']"
King or Twin Bed,"['King or Twin Beds', 'king bed', 'King or Twin Bed', 'King Bed', 'King / Twin Beds']"
Access via exterior corridors,['Access via exterior corridors']
Non-smoking only,"['Non-smoking rooms', 'Non-smoking throughout', 'Non-Smoking Rooms', 'Non-smoking only']"
City view,"['City view', 'City or Park View']"
100-200 Sq.Feet,"['250 to 375 sq ft', '100-200 Sq.Feet', 'Greater than 200 Sq. Feet']"
Ice machine,['Ice machine']
Children's play area,"[""Children's pool"", ""Children's play area"", ""Children's club"", 'Kids Play Area', ""Children's Play Area""]"
Theatre desk,['Theatre desk']
Room Size:24 sq m(259 sq ft),"['460 Sq Ft', '46 Sq', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']"
Room Size:21 sq m(226 sq ft),"['460 Sq Ft', '46 Sq', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']"
"Vacuum sealed, double paned windows for noise reduction","['Vacuum sealed, double paned windows for noise reduction']"
Soundproofed rooms,"['Soundproof rooms', 'Soundproofed rooms', 'Soundproofed Rooms']"
Wired Internet,"['Broadband Internet Connection', 'Wired Internet']"
Prayer room,['Prayer room']
Industrial park,['Industrial park']
Cribs/infant beds available,"['Cribs available', 'Cribs/infant beds (complimentary)', 'Cribs/infant beds available']"
Cook on call,['Cook on call']
Air-conditioned public areas,['Air-conditioned public areas']
Parking Facility,"['Parking', 'Parking Facility', 'Parking Facility At Hotel']"
Daily housekeeping,['Daily housekeeping']
Secure outdoor parking (surcharge),"['Secure parking (surcharge)', 'Secure covered parking (surcharge)', 'Free secure outdoor parking', 'Parking (surcharge)', 'Garage parking (surcharge)', 'Free outdoor parking', 'Parking(secure)', 'Parking(surcharge)', 'Covered parking (surcharge)', 'Secure outdoor parking (surcharge)', 'Parking nearby (surcharge)', 'Secure parking', 'Self parking (surcharge)', 'Outdoor parking (surcharge)', 'Parking limited (surcharge)']"
Internet Facility,['Internet Facility']
Function room(s),['Function room(s)']
Mountain view,"['Valley view', 'Mountain view']"
Anti-slip ramps to allow wheelchair access,['Anti-slip ramps to allow wheelchair access']
Magazine Rack,['Magazine Rack']
Wifi Enabled,"['Wifi Enabled', 'Wifi EnabledFireplace', 'WiFi']"
Extra Mattress (On Request),"['Extra Mattress (On Request)', 'Extra Bed (On Request)']"
Cinema close by,['Cinema close by']
Musical performances,"['Musical performances', 'Dance performances']"
"Mini-bar with 2 bottles of packaged mineral water, provided daily","['Mini-bar with 2 bottles of packaged mineral water, provided daily']"
Miniature Golf Course,"['Miniature Golf Course', 'Mini Golf']"
Room Size:76 sq m(839 sq ft),"['460 Sq Ft', '46 Sq', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']"
Tennis Court,"['Tennis Courts', 'Basketball Court', 'Tennis Court', 'Badminton Court', 'Outdoor tennis court', 'Volleyball Court']"
Coffee/tea maker,"['Tea coffee maker', 'TVTea/Coffee Maker', 'Coffee Maker', 'Tea/ Coffee Maker in the Rooms', 'TEA MAKER IN ROOM', 'Tea/coffee Maker', 'Tea / Coffee Maker', 'Tea Maker', 'Coffee/tea maker', 'Tea/Coffee maker in the Room', 'Coffee/tea in lobby', 'Tea/Coffee Maker']"
Bird watching,['Bird watching']
Window opens,"['Window opens', 'window opens']"
Chargeable WiFi Internet Connectivity,"['Free WiFi Internet Connectivity', 'Internet / Wifi', 'Chargeable WiFi Internet', 'WiFi Internet Connectivity', 'Chargeable WiFi Internet Connectivity', 'Wireless Internet access (surcharge)', 'Chargeable Wi Fi Internet Connectivity', 'Wireless Internet access - surcharge', 'WiFi Internet']"
Art Gallery,['Art Gallery']
Seminar facilities,"['Conference Facilities', 'Meeting facilities', 'Seminar facilities']"
Shared/communal kitchen,"['Shared bathroom', 'Shared/communal kitchen']"
Water park access (complimentary),"['Water park access (complimentary)', 'Water park access (surcharge)']"
Ferry terminal shuttle (complimentary),"['Cruise terminal shuttle (complimentary)', 'Cruise terminal shuttle (surcharge)', 'Ferry terminal shuttle (complimentary)']"
Bus stop close by,"['Train Station close by', 'Bus stop close by']"
Greater than 200 Sq. Feet,"['100-200 Sq.Feet', 'Greater than 200 Sq. Feet']"
Grocery/convenience store,"['Grocery store', 'Grocery', 'Grocery/convenience store']"
Horse riding (nearby),"['Horse Riding', 'Horse riding (nearby)', 'Horse riding']"
Internet access-high speed,"['Wired high-speed Internet access (surcharge)', 'High speed Internet access', 'Internet access-high-speed', 'Free wired high-speed Internet', 'Internet access-high speed', 'Free high-speed Internet access', 'Internet access-dial-up', 'High-speed broadband and wireless Internet access', 'Internet access', 'Wired (high-speed) Internet access - surcharge']"
Parking garage,"['Free garage parking', 'Garage parking (surcharge)', 'Parking', 'Parking garage']"
Children's entertainment,"[""Children's Playground"", ""Children's entertainment"", ""Children's activities"", ""Children's club""]"
Wake up call,"['Wake up call service on request', 'Wake up call', 'Wake-up calls', 'Automatic wake-up call']"
Children's club (surcharge),"[""Children's club (free)"", ""Children's club (surcharge)"", ""Children's club""]"
Poolside Bar,"['Poolside bar', 'Pool Bar', 'Bar/lounge', 'Poolside Bar']"
Packed Lunches,"['Packed lunches', 'Packed Lunches']"
Bullock cart rides,['Bullock cart rides']
Ticket service,"['Ticket Service', 'Ticket service']"
Wi Fi Internet,"['Wifi EnabledFree Wi-Fi', 'Wi-Fi', 'Wi-Fi Internet access', 'Wi-fi', 'Wi Fi Internet', 'Free Wi-Fi', 'Wi-Fi Internet', 'Wi-Fi/Wireless LAN', 'Wi-Fi/Wireless LANMinibar', 'Internet/Wi-Fi', 'Free Wi Fi*', 'Chargeable Wi Fi Internet Connectivity']"
Front desk,"['Desk', 'Front desk', 'Front desk (limited hours)']"
Petrol station,['Petrol station']
29'' TV,"[""34'' TV"", ""29'' TV"", ""22'' LCD TV""]"
Garden,"['Rooftop garden', 'Gardens', 'Garden', 'Garden terrace']"
Chip and putt golf,['Chip and putt golf']
Shopping center shuttle (surcharge),"['Shopping center shuttle (surcharge)', 'Shopping center shuttle (complimentary)', 'Area shuttle (surcharge)']"
Tai-Chi,['Tai-Chi']
Spa tub,"['Private spa tub', 'Bath Tub', 'Spa tub', 'Spa']"
Multi Cuisines Morning 7:00 Am Till 23:00 Hrs,['Multi Cuisines Morning 7:00 Am Till 23:00 Hrs']
Craft and cooking classes,['Craft and cooking classes']
Wifi At A Charge,"['Wifi At A Charge', 'WiFi at a charge']"
Children's activities,"[""Children's Playground"", ""Children's entertainment"", ""Children's activities"", ""Children's club""]"
Lawns/gardens,"['Gardens', 'Lawns/gardens']"
Sailing,['Sailing']
Convention centre,['Convention centre']
Spa and wellness centre,"['Spa & Wellness Centre', 'Health and fitness centre', 'Spa/Massage/Wellness', 'Spa and wellness centre']"
Pets allowed (small),"['No pets except guide dogs', 'Pets Allowed', 'Pets not allowed', 'Pets allowed (dogs only)', 'Pets allowed (small)', 'Pets allowed']"
House Car & Shuttle Service,"['Limo or Town Car service available', 'House Car & Shuttle Service']"
Squash Court,"['Squash court', 'Squash Court']"
Bathroom phone,"['Bathroom telephone', 'Bathroom phone']"
Mineral Water,['Mineral Water']
Fitness Centre,"['Fitness centre (nearby)', 'Fitness Center', 'Health and fitness centre', 'Fitness Centre', 'Fitness centre']"
Cyber cafe,['Cyber cafe']
Ocean View,"['Sea view', 'Sea View', 'Ocean View', 'Ocean view']"
Bell captain/porters,['Bell captain/porters']
Dry Cleaning Service,"['Shoe cleaning service', 'Dry cleaning/laundry service', 'Dry Cleaning', 'Dry Cleaning Service', 'Room cleaning service']"
Concierge services,"['Concierge Service', 'Concierge services', 'Concierge']"
Internet centre,['Internet centre']
Soundproofed Rooms,"['Soundproof rooms', 'Soundproofed rooms', 'Soundproofed Rooms']"
Credit cards accepted,['Credit cards accepted']
Bottled/drinking water,"['Complimentary bottled water', 'Bottled/drinking water']"
Sun Beds,"['Sun Beds (pool)', 'Sun Beds', 'Sun beds']"
Games Room,"['Table games', 'Games Room', 'Games room', 'Arcade/game room', 'Game Room', 'Video games room']"
Medical facilities,"['Medical facilities', 'Medical services']"
Conference Hall,"['Conference Hall', 'Conference / Banquet Hall']"
Nightclub,['Nightclub']
Fax/Photocopying,"['Photocopying', 'Fax/Photocopying', 'Fax/photocopying']"
Meeting/Banquet Facilities,"['Conference & Banquet Facilities', 'Conference Facilities', 'Meeting facilities', 'Meeting/Banquet Facilities', 'Banquet facilities']"
Wine tasting,"['Wine Cellar', 'Wine tasting']"
A suite with terrace and Fire Place,['A suite with terrace and Fire Place']
Parking(valet),"['Valet parking', 'Free valet parking', 'Parking', 'Valet', 'Parking(valet)', 'Valet parking (surcharge)', 'Valet Parking', 'valet']"
24/7 Power,['24/7 Power']
In-room safe (some rooms),"['Attached bathroom in all the rooms', 'Breakfast in the Room', 'Living Room and Bed Room', 'Breakfast in the room', 'In room safe', 'Separate living room', 'Sofa in the room', 'In-room safe (some rooms)', 'Safe at Reception / Room', 'Shared bathroom with sink in room', '250 room space for double room, with Wify,', 'In-room safe']"
abc,['abc']
Mini bar,"['Mini-bar', 'Mini bar']"
Travel agent,['Travel agent']
Safe at Reception / Room,"['In room safe', 'In-room safe (some rooms)', 'Safe at Reception / Room', 'In-room safe']"
Common TV Room,"['Television-Room', 'TV room', 'Common TV Room']"
Water park access (surcharge),"['Water park access (complimentary)', 'Water park access (surcharge)']"
Wifi EnabledFireplace,"['Internet / Wifi', 'Wifi Enabled', 'Wifi EnabledFireplace', 'WiFi', 'WiFi Internet']"
Teahouse,['Teahouse']
Currency Exchange,"['Currency Exchange', 'Currency exchange']"
ESPN,['ESPN']
Hot Tub,"['Hot tub', 'Hot Tub']"
Safety deposit box,"['Safety Deposit Lockers', 'Safety deposit box', 'Safety Deposit Box']"
Puppet show,['Puppet show']
Separate sitting area,"['Separate Dinning area', 'Separate sitting area', 'Separate dining area']"
Newspaper,"['Daily Newspaper', 'Newspaper', 'TVDaily Newspaper']"
Free on-street parking,"['Free parking nearby', 'Free covered parking', 'Parking(free)', 'Free garage parking', 'Free on-street parking', 'Free Parking', 'Parking (free)']"
Travel Assistance,['Travel Assistance']
Video library,['Video library']
Beach umbrellas,"['Beach umbrellas', 'Beach/pool umbrellas', 'Beach sun loungers']"
Airconditioning in Bedrooms,['Airconditioning in Bedrooms']
Designer toiletries,['Designer toiletries']
Clark Hatch Fitness Centre,['Clark Hatch Fitness Centre']
Tour desk,"['Tour desk', 'Tour Desk']"
Fax Machine,"['Fax Machine', 'Telephone/fax machine', 'Fax, Scanner & Printer Machine']"
Swiming Pool,"['Swimming pools', 'Swimming pool', 'Swimming Pool', 'Swiming Pool', 'Kiddy Swimming Pool']"
Iron/Iron board,"['Iron/ironing board', 'Iron', 'Iron/Iron board']"
Spa services,"['Full-service health spa', 'Spa services on site', 'Spa services onsite - Free', 'Full-sevices health spa', 'Spa services nearby', 'Spa services']"
Hot pools,['Hot pools']
Meditation,"['Meditation', 'Yoga Meditation Centre']"
Video conferencing,['Video conferencing']
Cigarette Basket,['Cigarette Basket']
Airport transportation (surcharge),"['Airport shuttle(surcharge)', 'Airport transportation(surcharge)', 'Airport transportation - pickup (complimentary)', 'Airport transportation (complimentary)', 'Airport transportation free', 'Airport transportation', 'Airport transportation (surcharge)', 'Airport transportation - drop-off (surcharge)', 'Airport Shuttle (surcharge)', 'Airport transportation - pickup (surcharge)']"
Boardroom,['Boardroom']
Free WiFi Internet,"['Free WiFi Internet Connectivity', 'Free Internet', 'Internet / Wifi', 'WiFi Internet Connectivity', 'Free WiFi Internet', 'WiFi Internet']"
spit AC,['spit AC']
Exhibition hall,['Exhibition hall']
Study / Office,['Study / Office']
Executive floor,['Executive floor']
Private Garden,['Private Garden']
King Bed,"['King or Twin Beds', 'king bed', 'King or Twin Bed', 'King Bed', 'King / Twin Beds']"
Sun beds,"['Sun Beds (pool)', 'Sun Beds', 'Sun beds']"
Tea/Coffee maker in the Room,"['Tea coffee maker', 'Tea/ Coffee Maker in the Rooms', 'TEA MAKER IN ROOM', 'Tea/coffee Maker', 'Tea / Coffee Maker', 'Coffee/tea maker', 'Tea/Coffee maker in the Room', 'Coffee/tea in lobby', 'Tea/Coffee Maker']"
Private Pool,"['Private beach', 'Private plunge pool', 'Private spa pools', 'Private Pool']"
Beauty services,['Beauty services']
Indoor Entertainment/disc,['Indoor Entertainment/disc']
First-run movies,['First-run movies']
Garden view,"['Pool or Garden View', 'Garden View', 'Garden or Pool View', 'Garden view']"
Coffee Shop,"['Coffee shop or caf', 'Coffee Shop']"
Computer station,['Computer station']
Elevator/lift,"['Elevator/lift attendant', 'Lift / Elevator', 'Lift/elevator', 'Elevator/lift', 'Elevator']"
Restaurant (à la carte),"['Restaurant (Ã\xa0 la carte)', 'Restaurant (à la carte)']"
Security deposit required,['Security deposit required']
Cell phone/mobile rental,"['Mobile phone hire', 'Cell phone/mobile rental', 'Cell phone rental', 'Phone']"
Entertainment Staff,"['Entertainment Staff', 'Entertainment staff']"
Cardio theatre,['Cardio theatre']
hot water,"['TVHot/cold Water', 'Hot & Cold water', 'Hot Water', 'hot water', 'Hot & Cold Running Water', '24-hr Hot & Cold Water', 'Hot/cold Water']"
Laundry Service (At a charge),"['Laundry Service Same Day', 'Laundry Service (At a charge)', 'Room Service, 24 Hour Reception And Laundry Service']"
Electronic Locking,['Electronic Locking']
Catering,"['Catering services', 'Catering']"
Fireplace,['Fireplace']
Geyser in the Bathroom,"['Geyser in the Bathroom', 'Geyser In Bathroom']"
CD Player,"['DVD Player', 'CD Player']"
