,similarity_scores_85
Room Size:31 sq m(334 sq ft),"['460 Sq Ft', '46 Sq', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']"
"RV, bus, truck parking (surcharge)","['RV, bus, truck parking (surcharge)', 'Free RV, bus, truck parking', 'RV, bus, truck parking']"
Plunge pool,"['Plunge pool', 'Private plunge pool', 'Plunge Pool', 'Cold plunge pool']"
Airport/Rlwy Stn Transfer,"['Airport/Rlwy Stn Transfer', 'Airport Transfer', 'Airport/Railway Station Transfer']"
Free Use Of Wifi In Lobby,['Free Use Of Wifi In Lobby']
Flat screen color television with multi-channel cable,"['Flat screen color television with multi-channel cable', 'LCD television with multi channel cable', 'Large Screen Television']"
Shower only,"['Shower only', 'Shower', 'Bathtub or shower', 'Bathtub only', 'Separate bathtub and shower', 'Showers only']"
Guest Slippers,['Guest Slippers']
Cable/satellite TV,"['Cable/satellite TV', 'Satellite TV service', 'TV with satellite / Cable TV channels', 'Satellite Television', 'Cable Tv', 'Cable TV service', 'LCD television with multi channel cable', 'Satellite television', 'Satellite TV']"
Billiards,"['Billiards', 'Carom (billiards)']"
Trolley,['Trolley']
Sports centre,['Sports centre']
Pony rides,['Pony rides']
Check,['Check']
Boutique,['Boutique']
Cookware/dishes,['Cookware/dishes']
Porter/bellhop,['Porter/bellhop']
Dining Table,"['Dinning Table', 'Dining Table']"
Air conditioning-Room,"['Central Air Conditioning', 'Air conditioning-Room', 'Air Conditioning', 'Air Conditioned', 'Air conditioning']"
Climate control,['Climate control']
Pool View,"['Pool View', 'Pool or Garden View', 'Garden or Pool View', 'Pool view']"
Outdoor Swimming Pool (all year),"['Outdoor Swimming Pool (all year)', '1 outdoor pool (heated)', 'Outdoor Swimming Pool', 'Swimming pool (outdoor)', 'Swimming pool', 'Swimming Pool', 'Indoor Swimming Pool (seasonal)', 'Indoor Swimming Pool', 'Outdoor Swimming Pool (seasonal)', 'Swimming pool (men only)', 'Swimming pool - indoor', 'Swimming pool - outdoor', 'Outdoor pool (all year)', ""Swimming pool - children's"", 'Indoor Swimming Pool (all year)', 'Indoor pool (all year)', 'Outdoor pool (seasonal)']"
Data Port,['Data Port']
bathtub,"['bathtub', 'Bathtub or shower', 'Bathtub only', 'Bathtub', 'Jetted bathtub', 'Jacuzzi Bathtub']"
Designated Smoking Area,"['Designated smoking areas (fines apply)', 'Designated Smoking Area', 'Designated smoking area', 'Designated smoking areas']"
Multilingual staff,['Multilingual staff']
Table tennis,"['Table tennis', 'Table Tennis', 'Play Area ( Table tennis, carrom, badminton, etc)']"
Trouser Press,"['Trouser Press', 'Trouser press']"
Creche (nursery),['Creche (nursery)']
